address,balance_raw,balance_decimal,balance_start_raw,balance_start_decimal,balance_end_raw,net_change_raw,net_change_decimal,peak_balance_raw,peak_balance_decimal,moved_in_raw,moved_out_raw,balance_source,trajectory_source,is_pool,pool_label,is_contract,address_type,resolved_owner,resolution_method,tx_count,first_seen_block,last_seen_block,query_timestamp
0x9D2713fa2f387eD1284a4176E7841253B4Da2A71,4688038997475616041287,4688.038997,30571685083502339540941,30571.685084,4688038997475616041287,-25883646086026723499654,-25883.646086,30571685083502339540941,30571.685084,,,rpc,two_point_snapshot,True,UNISWAP V3,True,pool,,pool,0,15503619,15711589,1787564536
0xF04543fBF20DAEE9B0357db966428EF2A4Ae0F5A,1184670704107903894801,1184.670704,1254903147846263500908,1254.903148,1184670704107903894801,-70232443738359606107,-70.232444,1254903147846263500908,1254.903148,,,rpc,two_point_snapshot,True,UNISWAP V2,True,pool,,pool,0,15503619,15711589,1787564536
0xb404057EE4B1d7359Ca5a57aC1C020B74c23E56b,303880200976749075397,303.880201,580566362312001294355,580.566362,303880200976749075397,-276686161335252218958,-276.686161,580566362312001294355,580.566362,,,rpc,two_point_snapshot,True,UNISWAP V3,True,pool,,pool,0,15503619,15711589,1787564536
