pool_address,protocol,version,token0,token1,fee,balance_raw,balance_decimal,in_holders_list
0xF04543fBF20DAEE9B0357db966428EF2A4Ae0F5A,uniswap,v2,0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,,1184670704107903894801,1184.670704,True
0xb404057EE4B1d7359Ca5a57aC1C020B74c23E56b,uniswap,v3,0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3000,303880200976749075397,303.880201,True
0x9D2713fa2f387eD1284a4176E7841253B4Da2A71,uniswap,v3,0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,4688038997475616041287,4688.038997,True
