owner_before,candidate_event_count,unique_nfts,first_event_utc,latest_event_utc,median_S_nft_pct,median_E_pct,max_E_pct,median_removed_turbo,median_removed_weth
0xC216BfA5dA000965E820845c32e6FD88DB275743,446,446,2026-07-05 06:01:23+00:00,2026-09-02 02:51:23+00:00,98.27503659203187,98.27503659203187,99.29612033297228,9681375.860400496,4.2829920790881
0x34756D8400f2426851dc46D6ab38F0Df004CE1E7,1,1,2026-06-25 15:00:35+00:00,2026-06-25 15:00:35+00:00,29.06750188540566,29.06750188540566,29.06750188540566,47684160.42745857,2.5296946105643485
