date_utc,swap_count,target_volume,weth_volume,price_close_weth,price_vwap_weth,add_count,remove_count
2026-06-04 00:00:00+00:00,34,7516593.100530666,3.9565550030522316,5.292582736178972e-07,5.263761055221815e-07,0.0,0.0
2026-06-05 00:00:00+00:00,49,18545068.402711615,9.85394711586777,5.361291127678879e-07,5.313513491504269e-07,0.0,0.0
2026-06-06 00:00:00+00:00,72,11495204.94148867,6.085217292423437,5.29387962931277e-07,5.293700567669374e-07,0.0,0.0
2026-06-07 00:00:00+00:00,60,19392497.24265071,10.31902464823283,5.143927139233995e-07,5.321142769347817e-07,0.0,0.0
2026-06-08 00:00:00+00:00,35,8768437.075986883,4.511337563433158,5.100650075413e-07,5.144973413549198e-07,0.0,0.0
2026-06-09 00:00:00+00:00,20,2774906.733498532,1.4149609930886489,5.170383880815483e-07,5.09912991311496e-07,0.0,0.0
2026-06-10 00:00:00+00:00,27,23555369.432250377,12.278085629296049,5.01473270057097e-07,5.212436028486034e-07,0.0,0.0
2026-06-11 00:00:00+00:00,38,4644452.400112652,2.4080586179000347,5.148846844942889e-07,5.184806324727597e-07,0.0,0.0
2026-06-12 00:00:00+00:00,22,2149806.5046149306,1.1040870502226277,5.100192800017547e-07,5.135750812235958e-07,0.0,1.0
2026-06-13 00:00:00+00:00,107,25795369.67617674,13.86254646937706,5.369269078931969e-07,5.374044506204455e-07,0.0,0.0
2026-06-14 00:00:00+00:00,82,18050983.420332205,9.734317824269565,5.39454655601082e-07,5.39268005382192e-07,0.0,0.0
2026-06-15 00:00:00+00:00,61,12537338.76918138,6.535023604382604,4.997282468438072e-07,5.212448769787295e-07,0.0,0.0
2026-06-16 00:00:00+00:00,39,5103883.356154094,2.6009970653458256,5.124894554217094e-07,5.09611384870234e-07,0.0,0.0
2026-06-17 00:00:00+00:00,82,16245185.027037568,8.501629591664626,5.121960822110841e-07,5.233322721480238e-07,0.0,0.0
2026-06-18 00:00:00+00:00,53,33713598.40528824,17.2482192094653,5.294956495086975e-07,5.116101521444173e-07,0.0,0.0
2026-06-19 00:00:00+00:00,29,4992520.875101105,2.6309829771036948,5.193619961037199e-07,5.269848725570754e-07,0.0,0.0
2026-06-20 00:00:00+00:00,40,4231409.770861978,2.1669470251123646,5.156112856423313e-07,5.121099450197982e-07,0.0,0.0
2026-06-21 00:00:00+00:00,48,11957998.472730927,6.21896133511873,5.064583701783712e-07,5.200670788928831e-07,0.0,0.0
2026-06-22 00:00:00+00:00,64,12562731.275161866,6.508224704405728,5.077031330798571e-07,5.180581007311145e-07,0.0,1.0
2026-06-23 00:00:00+00:00,23,4532273.667819326,2.3306253715337824,5.22761844415557e-07,5.142287386752503e-07,1.0,1.0
2026-06-24 00:00:00+00:00,48,11134244.305277124,5.696962383824204,5.121052610174901e-07,5.116613420386422e-07,0.0,0.0
2026-06-25 00:00:00+00:00,57,62654015.20081435,26.211701985685462,5.099034414175003e-07,4.1835630009782317e-07,0.0,1.0
2026-06-26 00:00:00+00:00,20,2186688.395345135,1.1166805479998934,5.068337243773883e-07,5.106720053835757e-07,0.0,0.0
2026-06-27 00:00:00+00:00,29,3950080.7246610723,2.0379176227480897,5.126966981873919e-07,5.159179684670745e-07,0.0,0.0
2026-06-28 00:00:00+00:00,159,30229999.29876817,16.824207765679773,5.672850415042961e-07,5.565401308615094e-07,0.0,0.0
2026-06-29 00:00:00+00:00,151,28859247.92392383,16.541072015469542,5.28367287329218e-07,5.731636548212773e-07,0.0,0.0
2026-06-30 00:00:00+00:00,41,5526645.192444107,2.897381072501388,5.113061893274038e-07,5.242567546153707e-07,0.0,0.0
2026-07-01 00:00:00+00:00,94,20924812.084279306,10.90772943065922,5.23920844413918e-07,5.212820734889244e-07,0.0,0.0
2026-07-02 00:00:00+00:00,54,9553224.057672769,4.882376628464603,5.068050629716534e-07,5.110710896122312e-07,0.0,0.0
2026-07-03 00:00:00+00:00,43,16548253.89984416,8.586075553186648,5.139607858846394e-07,5.188508470532656e-07,0.0,0.0
2026-07-04 00:00:00+00:00,66,14654855.494733946,7.570913246513597,5.018116081262263e-07,5.166146639408432e-07,0.0,1.0
2026-07-05 00:00:00+00:00,53,11502359.1418345,5.965659922393833,5.236713802124209e-07,5.186466401224172e-07,17.0,16.0
2026-07-06 00:00:00+00:00,33,5895564.12423966,2.99264236609417,4.978389697412341e-07,5.076091622496135e-07,9.0,10.0
2026-07-07 00:00:00+00:00,35,7788651.668248068,3.805248306542289,4.872142397610692e-07,4.88563164540419e-07,6.0,5.0
2026-07-08 00:00:00+00:00,15,2774194.6737644956,1.345239456345248,4.820202650612946e-07,4.84911700345744e-07,15.0,15.0
2026-07-09 00:00:00+00:00,32,16181519.192663457,8.079494221607467,4.868172355039023e-07,4.993038122941282e-07,18.0,19.0
2026-07-10 00:00:00+00:00,27,3567104.234539731,1.707448749491859,4.7112545397416236e-07,4.786652245703647e-07,9.0,8.0
2026-07-11 00:00:00+00:00,78,15887702.068208544,7.884891203125076,4.869627047146491e-07,4.962889642110564e-07,11.0,12.0
2026-07-12 00:00:00+00:00,46,7782369.623900743,3.7163452754486643,4.652914834250538e-07,4.775338945653839e-07,40.0,40.0
2026-07-13 00:00:00+00:00,47,12879167.832053654,6.172956093564869,4.6698552238469397e-07,4.792977445484967e-07,12.0,12.0
2026-07-14 00:00:00+00:00,14,2665744.557381005,1.2520172087532966,4.5421030688634945e-07,4.6966886053904466e-07,7.0,6.0
2026-07-15 00:00:00+00:00,11,676971.7095587002,0.30570094173767043,4.383512940639226e-07,4.51571221398526e-07,4.0,4.0
2026-07-16 00:00:00+00:00,11,245959.80557337092,0.10915292932809208,4.513479525972527e-07,4.437836055108251e-07,6.0,6.0
2026-07-17 00:00:00+00:00,16,6311307.256725817,2.8314447788800257,4.455603187862064e-07,4.486304760178835e-07,5.0,6.0
2026-07-18 00:00:00+00:00,10,1921111.7844052617,0.8506999866034279,4.48802556932987e-07,4.4281649485940135e-07,38.0,37.0
2026-07-19 00:00:00+00:00,28,1097197.9689282482,0.4790869499487809,4.443566929007472e-07,4.3664585928531833e-07,27.0,27.0
2026-07-20 00:00:00+00:00,14,661046.1438185083,0.28839832426333295,4.273297253696857e-07,4.362756321327447e-07,5.0,6.0
2026-07-21 00:00:00+00:00,11,976821.4230559838,0.4153530941901521,4.3267450283745035e-07,4.252088297682096e-07,3.0,3.0
2026-07-22 00:00:00+00:00,19,656912.9900463119,0.283393280731073,4.2042078061742833e-07,4.314015478839808e-07,1.0,1.0
2026-07-23 00:00:00+00:00,42,7325855.81228213,3.1306165307738456,4.1497696570887486e-07,4.273379944941347e-07,4.0,3.0
2026-07-24 00:00:00+00:00,18,2158113.0916276146,0.910807360628097,4.248593308922354e-07,4.220387542068894e-07,1.0,2.0
2026-07-25 00:00:00+00:00,14,9852435.106203478,4.2094617060197494,4.27971577044495e-07,4.2725089387996154e-07,4.0,3.0
2026-07-26 00:00:00+00:00,43,2220070.2020237055,0.9550975263831312,4.2107805045511914e-07,4.30210506637363e-07,35.0,36.0
2026-07-27 00:00:00+00:00,20,2597926.265474768,1.0491193742295333,4.143085844279991e-07,4.0382954211281586e-07,14.0,14.0
2026-07-28 00:00:00+00:00,23,1413780.7783152796,0.58303639662611,4.0269997700680066e-07,4.123951927829154e-07,4.0,5.0
2026-07-29 00:00:00+00:00,28,6367819.904434827,2.447394850603233,3.8907113697838136e-07,3.8433795040257977e-07,20.0,19.0
2026-07-30 00:00:00+00:00,37,1377216.6220545452,0.545071171658993,3.8731978403162505e-07,3.957773693188879e-07,12.0,12.0
2026-07-31 00:00:00+00:00,52,1431662.2187697226,0.5866556451935261,4.3495428187783e-07,4.097723873007278e-07,8.0,9.0
2026-08-01 00:00:00+00:00,41,1416923.2798020958,0.6075691324415371,4.2198134733293243e-07,4.287946574823708e-07,27.0,26.0
2026-08-02 00:00:00+00:00,40,5771704.110429946,2.4361108685282566,4.211297096188559e-07,4.22078266993279e-07,18.0,18.0
2026-08-03 00:00:00+00:00,26,602526.052723226,0.25367896991372724,4.190287871155744e-07,4.210257278787847e-07,7.0,8.0
2026-08-04 00:00:00+00:00,45,2910326.1631120844,1.255115688505759,4.4671104827225137e-07,4.312628956898881e-07,9.0,9.0
2026-08-05 00:00:00+00:00,39,10311805.798628926,4.173209103540391,4.3127970938747605e-07,4.047020652866899e-07,10.0,11.0
2026-08-06 00:00:00+00:00,57,11386561.269587893,5.0693978855427515,4.232925841012018e-07,4.4520885327183815e-07,6.0,5.0
2026-08-07 00:00:00+00:00,20,3204985.0591324707,1.3589293614998472,4.207895514258747e-07,4.2400489750416615e-07,0.0,1.0
2026-08-08 00:00:00+00:00,22,747443.7013026472,0.32344406622373667,4.42446954641754e-07,4.327336837009093e-07,15.0,14.0
2026-08-09 00:00:00+00:00,54,5868249.778645529,2.736271884647537,4.6615213244840096e-07,4.6628415419616055e-07,10.0,11.0
2026-08-10 00:00:00+00:00,46,2101125.544676369,0.9360253099020057,4.4995694009667045e-07,4.454875684480716e-07,2.0,1.0
2026-08-11 00:00:00+00:00,29,2305204.6253093863,0.997733460776685,4.3247096470617667e-07,4.328177420010066e-07,3.0,4.0
2026-08-12 00:00:00+00:00,19,697084.7341572879,0.29661928411453536,4.287456765359485e-07,4.2551395774449306e-07,0.0,0.0
2026-08-13 00:00:00+00:00,42,7786087.153460845,3.3261956356536633,4.195723639513858e-07,4.271973290428941e-07,0.0,0.0
2026-08-14 00:00:00+00:00,21,1136074.7237219603,0.48689313131176437,4.115014767786045e-07,4.285749177806065e-07,0.0,0.0
2026-08-15 00:00:00+00:00,27,1520261.503749093,0.640811936888726,4.205751169552768e-07,4.215142824497165e-07,0.0,0.0
2026-08-16 00:00:00+00:00,13,412921.5089292915,0.17488166621126888,4.168644207854498e-07,4.235227820045953e-07,0.0,0.0
2026-08-17 00:00:00+00:00,14,635815.3208181687,0.2585588919692492,4.089410747295653e-07,4.066572218431839e-07,0.0,0.0
2026-08-18 00:00:00+00:00,12,1726804.236795131,0.6868235672452186,3.939788465902301e-07,3.9774257707401246e-07,0.0,0.0
2026-08-19 00:00:00+00:00,21,2458705.0127872275,0.9467909163615817,3.7213139090584694e-07,3.8507706757724645e-07,0.0,0.0
2026-08-20 00:00:00+00:00,49,2608460.9671049835,1.0336256012946272,4.034117328905585e-07,3.9625879563833493e-07,0.0,0.0
2026-08-21 00:00:00+00:00,93,6607911.58468432,2.848312723004833,4.1677093261700356e-07,4.3104582839858103e-07,0.0,0.0
2026-08-22 00:00:00+00:00,81,6804665.4453147305,2.943278942972312,3.9337436824724764e-07,4.325383762987012e-07,0.0,0.0
2026-08-23 00:00:00+00:00,79,5017864.315254769,2.0380942982534656,4.2162175225199256e-07,4.061676781609003e-07,0.0,0.0
