address,balance_raw,balance_decimal,balance_start_raw,balance_start_decimal,balance_end_raw,net_change_raw,net_change_decimal,peak_balance_raw,peak_balance_decimal,moved_in_raw,moved_out_raw,balance_source,trajectory_source,is_pool,pool_label,is_contract,address_type,resolved_owner,resolution_method,tx_count,first_seen_block,last_seen_block,query_timestamp
0xb404057EE4B1d7359Ca5a57aC1C020B74c23E56b,20167021567733549059436,20167.021568,303880200976749075397,303.880201,20167021567733549059436,19863141366756799984039,19863.141367,20167021567733549059436,20167.021568,,,rpc,two_point_snapshot,True,UNISWAP V3,True,pool,,pool,0,15711590,15926371,1787564429
0x9D2713fa2f387eD1284a4176E7841253B4Da2A71,11663555271645182270208,11663.555272,4688038997475616041287,4688.038997,11663555271645182270208,6975516274169566228921,6975.516274,11663555271645182270208,11663.555272,,,rpc,two_point_snapshot,True,UNISWAP V3,True,pool,,pool,0,15711590,15926371,1787564429
0xF04543fBF20DAEE9B0357db966428EF2A4Ae0F5A,1627573517056690035513,1627.573517,1184670704107903894801,1184.670704,1627573517056690035513,442902812948786140712,442.902813,1627573517056690035513,1627.573517,,,rpc,two_point_snapshot,True,UNISWAP V2,True,pool,,pool,0,15711590,15926371,1787564429
