date_utc,gross_lp_remove_target,net_lp_flow_target,actual_transfer_net_to_pool_target,matched_removed_target,matched_remove_share
2026-08-05,101815133.97754003,-5589724.252642355,-4260894.121465361,91028119.41650577,0.8940529355546118
2026-08-06,49186271.06276621,3152919.851138271,5145411.063887728,21340944.05967315,0.4338800969978013
2026-08-07,3718684.873230162,-3718684.873230162,-4845428.536057424,0,0
2026-08-08,141620682.39264694,10492365.513670465,9901733.978797494,116038775.83818437,0.8193632023073009
2026-08-09,108013228.581052,-9576294.65895235,-10455837.768604401,60247997.06418112,0.557783503517551
